ID,Smiles,Inhibition,MW,QED,SA_Score,TPSA,HBD,HBA,RotBonds,LogP,Lipinski,Veber
TRAIN_0021,OC(=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1O,6.4,301.25,0.6847,3.8728,123.93,4,4,4,2.04,5,2
TRAIN_0022,CCOC(=O)C1CCN(CC1)c2nc(ncc2OC)c3ccc(cc3)S(=O)(=O)C,7.98,419.5,0.6581,4.0937,98.69,0,8,6,2.34,5,2
TRAIN_0023,COC(=O)[C@@H](OC(C)(C)C)c1c(C)nc2C(=O)N(Cc3ccc(OC)cc3)CCc2c1Cl,2.99,460.96,0.5986,4.5839,77.96000000000001,0,6,6,4.28,5,2
TRAIN_0024,COc1ccc(cc1)C2(ON(C)C(=N2)N)C3(COc4cc(F)cc(F)c4)CCCCC3,90.5,431.48,0.7366,4.5826,69.31,1,6,6,4.35,5,2
TRAIN_0025,CC(C)CNC1=C(C(=O)C)C(=O)c2c(Cl)c(Cl)c(Cl)cc2N1,40.2,361.66,0.6095,3.8497,61.96,2,3,4,4.76,5,2
TRAIN_0026,COC(=O)C(=C(C)\N=C\1/CCCN1C)C(=O)OC,0.0,254.29,0.3213,3.7484,68.2,0,5,3,0.73,5,2
TRAIN_0027,COc1ccc(cc1)c2cc3c(NC(C)c4ccccc4)ncnc3[nH]2,36.2,344.42,0.5454,4.452,62.83,2,4,5,4.81,5,2
TRAIN_0028,OCCc1cc(Cl)nc2c(Br)ccc(O)c12,60.8,302.56,0.8388,3.7175,53.35000000000001,2,3,2,2.89,5,2
TRAIN_0029,Cc1ccc(C)c(NC(=O)CC(=O)Nc2nccs2)c1,14.4,289.36,0.8501,3.8353,71.09,2,4,4,2.73,5,2
TRAIN_0030,CN1N(C(F)F)C(=CC1=O)c2cc(C)c(Cl)cc2F,72.4,290.67,0.8331,3.7661,26.93,0,3,2,3.35,5,2
TRAIN_0031,CC(=O)C1=C(NN2CCOCC2)Nc3c(Cl)cc(cc3C1=O)[N+](=O)[O-],27.0,366.76,0.482,3.9667,117.57000000000002,2,7,4,1.95,5,2
TRAIN_0032,CCc1cccc2C(=O)C(=C(NC3CCCCC3C)Nc12)C(=O)C,57.4,326.44,0.8242,4.6062,61.96,2,3,4,4.28,5,2
TRAIN_0033,CCCOC(=O)[C@@H]1[C@H](C)N1C(=O)OCc2ccccc2,7.92,277.32,0.6121,4.4959,55.61,0,4,5,2.35,5,2
TRAIN_0034,COC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C(=O)OC)c(C)c1c2ccc(N)cc2,88.8,400.48,0.6022,4.4759,100.74,1,7,5,3.76,5,2
TRAIN_0035,CCOC(=O)Cc1cc(Cl)nc2c(Br)ccc(OC)c12,4.21,358.62,0.6165,3.823,48.42,0,4,4,3.76,5,2
TRAIN_0036,CCOC(=O)c1cc(C(=O)OCC)n(CCCC#N)c1,0.0,278.31,0.5635,3.823,81.32000000000001,0,6,7,2.15,5,2
TRAIN_0037,CCOC(=O)c1c(C)nc2C(=O)N(CC3CCCCC3)C(C)(C)c2c1c4ccc(Cl)cc4,60.9,455.0,0.5075,4.1827,59.5,0,4,5,6.16,4,2
TRAIN_0038,SC1=C(C(=O)c2ccccc2)C(=O)c3ccccc3N1,61.6,281.34,0.5601,3.8473,49.93,2,3,2,3.05,5,2
TRAIN_0039,Cl.C=CC(=O)N1CC[C@H](C1)Nc2nc(nc3[nH]ncc23)c4ccc(Oc5ccccc5)cc4,42.1,462.94,0.4113,4.6542,96.03,2,6,6,4.43,5,2
TRAIN_0040,CCOC(=O)C(F)Cc1cc(N)c(F)cc1Cl,33.6,263.67,0.6708,4.1341,52.32,1,3,4,2.5,5,2
TRAIN_0041,COc1ccc(Br)c2NC(=O)C=C(CCO)c12,0.0,298.14,0.9085,3.7467,62.32000000000001,2,3,3,1.83,5,2
TRAIN_0042,COC(=O)CCc1cc(C)c(c(C)c1)c2nc3cc(NC(=O)N4CCOCC4)ccc3[nH]2,25.3,436.51,0.593,4.1979,96.54999999999998,2,5,5,3.82,5,2
TRAIN_0043,CCOC(=O)\C(=C(\O)/C(F)(F)F)\N(CC)CC,6.76,255.24,0.4647,3.6865,49.77,1,4,5,2.22,5,2
TRAIN_0044,COC(=O)c1oc2ccccc2c1OCCCCl,39.0,268.7,0.4745,3.7896,48.67,0,4,5,3.23,5,2
TRAIN_0045,O=S(=O)(\C=C/1\CCCC2OC12)c3ccccc3,12.5,250.32,0.7565,4.4356,46.67,0,3,2,2.3,5,2
TRAIN_0046,CCOc1ccccc1O[C@H]([C@@H]2CNCCO2)c3ccccc3,31.0,313.4,0.8889,4.6167,39.72,1,4,6,3.19,5,2
TRAIN_0047,COC(=O)[C@@H](OC(C)(C)C)c1c(C)nc2c(c1Cl)c3CCCCc3n2C,0.0,378.9,0.7405,4.3959,53.35,0,5,3,4.44,5,2
TRAIN_0048,CC(C)c1noc(CCCNc2nc(C)cc(Cl)n2)n1,0.0,295.77,0.6519,3.8353,76.73,1,6,6,2.99,5,2
TRAIN_0049,CC(=O)Nc1nc(cn1C2CN(Cc3cccc(c3)C(F)(F)F)C[C@@H]2O)c4ccccc4,71.7,444.46,0.6255,4.851,70.39,2,5,5,3.95,5,2
TRAIN_0050,CCOC(=O)C1=C2SCCN2c3cc4OCOc4cc3C1=O,14.2,319.34,0.789,3.906,66.75999999999999,0,7,2,2.01,5,2
TRAIN_0051,CCCC(=O)C1=C(c2cc(Cl)cc(c2OC1=O)C(F)(F)F)S(=O)C,21.3,380.77,0.5891,4.3204,64.35,0,4,4,4.19,5,2
TRAIN_0052,Clc1ncc(Br)cc1c2nnc3ccc(NCc4ccccc4)nn23,32.6,415.68,0.5056,4.0052,68.0,1,6,4,4.21,5,2
TRAIN_0053,C\C(=N/N(Cc1c(F)cccc1F)c2ccc(C)cc2)\C(=O)NC(C)(C)C,45.7,373.45,0.6163,4.0115,44.7,1,3,5,4.57,5,2
TRAIN_0054,COc1ccc(C)c(NC2=C(C(=O)C)C(=O)c3c(OC)ccc(C)c3N2)c1,54.0,366.42,0.6644,4.0208,80.41999999999999,2,5,5,4.11,5,2
TRAIN_0055,CC(C)(C)OC(=O)Nc1ccncc1I,63.7,320.13,0.8094,3.6716,51.22,1,3,1,3.03,5,2
TRAIN_0056,CN[C@@H](CCOc1cccc2ccccc12)c3ccccc3,11.6,291.39,0.7181,4.3441,21.26,1,2,6,4.57,5,2
TRAIN_0057,Cc1ccc(Nc2nc(N)nc(CN3CCN(CC3)c4ccccc4)n2)c(C)c1,43.6,389.51,0.6935,4.1186,83.19999999999999,2,7,5,3.14,5,2
TRAIN_0058,CN(C(CN1CCCC1)c2ccc(cc2)c3cccc(c3)C(=O)N)C(=O)CN4CCc5ccccc45,45.9,482.63,0.5247,4.7514,69.88,1,4,8,4.11,5,2
TRAIN_0059,COc1cc(Br)c(cc1OC)S(=O)(=O)Nc2ccc(OCCN(C)C)nc2,18.8,460.35,0.6155,4.0208,89.99,1,7,9,2.6,5,2
TRAIN_0060,C=CCCCS(=O)(=O)c1nnnn1c2ccccc2,50.2,278.34,0.5893,3.8183,77.74000000000001,0,6,6,1.4,5,2
TRAIN_0061,Cc1ccc(cc1)N(Cc2ccccc2)\N=C\C(=O)NN3CCCCC3,16.5,350.47,0.6406,4.0352,47.940000000000005,1,4,6,3.5,5,2
TRAIN_0062,Cc1onc(COCc2c(Cl)c(ccc2S(=O)(=O)C)C(=O)O)n1,1.18,360.78,0.8282,3.8931,119.59,1,7,6,1.85,5,2
TRAIN_0063,Clc1ccc2N=C(OC(=O)c2c1)c3ccccc3,5.96,257.68,0.67,3.8027,43.1,0,3,1,3.51,5,2
TRAIN_0064,CCOC(=O)c1c(C)nc2c(ccn2Cc3cccc(F)c3F)c1O,17.4,346.33,0.7339,3.9667,64.35,1,5,4,3.55,5,2
TRAIN_0065,COC(=O)c1ccc(NC(=O)OC(C)(C)C)c(O)c1,0.0,267.28,0.635,3.7661,84.86,2,5,2,2.53,5,2
TRAIN_0066,OC(=O)c1cccc(c1)c2ccc(cc2)N(CCN3CCOCC3)C(=O)Nc4ccc(Cl)cc4,29.5,479.96,0.4938,4.2696,82.11000000000001,2,4,7,5.08,4,2
TRAIN_0067,COc1cc(Br)c(cc1OC)S(=O)(=O)N[C@@H]2CCCN(C2)C(=O)c3ccccc3,75.8,483.38,0.6831,4.5105,84.94,1,5,6,3.05,5,2
TRAIN_0068,CN(c1ccc(cc1F)S(=O)(=O)C)c2ncnc3c(Br)csc23,30.0,416.3,0.6508,3.904,63.16,0,6,3,3.76,5,2
TRAIN_0069,CC(C)(C)OC(=O)n1ccc2c(Cl)nc(Cl)nc12,11.4,288.13,0.5494,3.7484,57.010000000000005,0,5,0,3.52,5,2
TRAIN_0070,Cc1cc(nc(OCCCC#N)c1C(=O)C2C(=O)C3CCC(C3)C2=O)C(F)(F)F,0.0,408.38,0.4063,5.3978,97.12,0,6,6,3.46,5,2
TRAIN_0071,CSC1=C(C(=O)C)C(=O)c2c(N1)c(ccc2C(F)(F)F)C(F)(F)F,48.2,369.29,0.4821,3.8927,49.93,1,3,2,4.49,5,2
TRAIN_0072,COc1cc(OC)cc(c1)N(Cc2c(F)cccc2Cl)C(=O)Cc3ccncc3,88.0,414.86,0.5635,4.1021,51.66,0,4,7,4.67,5,2
TRAIN_0073,Nc1oc(c2ccc(Cl)cc2)c(n1)c3ccc(Cl)cc3,95.6,305.16,0.7325,3.8473,52.05,1,3,2,4.9,5,2
TRAIN_0074,O=C(NCCN1CCC(C1)(c2ccccc2)c3ccccc3)Nc4ccnc5ccsc45,88.1,442.59,0.4363,4.2274,57.260000000000005,2,4,6,5.11,4,2
TRAIN_0075,CN(C1CCN(CC1)C(=O)OC(C)(C)C)c2nccc3c(Br)csc23,40.1,426.38,0.6859,3.9667,45.67,0,5,2,4.89,5,2
TRAIN_0076,Nc1cccc(Nc2nc(Cl)nc3[nH]ccc23)c1,77.1,259.7,0.4883,3.8027,79.62,3,4,2,2.94,5,2
TRAIN_0077,CCCCOc1nc(N)c2NC(=O)CN(Cc3cccc(CN4CCCC4)c3)c2n1,29.2,410.52,0.646,4.1498,96.61,2,7,8,2.79,5,2
TRAIN_0078,Cc1ccc(cc1)S(=O)(=O)CC(=O)c2ccc(Cl)cc2,60.6,308.79,0.8143,3.823,51.21,0,3,4,3.31,5,2
TRAIN_0079,CCOC(OCC)C#Cc1cncc(I)c1N,71.2,346.17,0.5149,3.7467,57.370000000000005,1,4,4,2.02,5,2
TRAIN_0080,COC(=O)c1c(CS(=O)(=O)c2ccccc2)n(c3ccccc13)S(=O)(=O)c4ccccc4,63.9,469.54,0.3999,4.1903,99.51,0,7,6,3.64,5,2
TRAIN_0081,COc1cc2c(oc3ccccc23)cc1NC(=O)C(=C(SC)SC)C(=O)C,50.4,401.51,0.3537,4.0299,68.53999999999999,1,6,6,5.06,4,2
TRAIN_0082,Cl.CN(C1CCNCC1)S(=O)(=O)c2ccc(Cl)s2,36.7,331.29,0.9237,3.7484,49.41,1,4,3,2.2,5,2
TRAIN_0083,CC(C)c1ccc(C)cc1OCc2nnc(NC(=O)Nc3ccc(C)cc3)s2,26.9,396.52,0.5766,4.0705,76.14000000000001,2,5,6,5.5,4,2
TRAIN_0084,COc1cc(NCc2c(F)cccc2Cl)cc(OC)c1,62.9,295.74,0.9003,3.8353,30.49,1,3,5,4.11,5,2
TRAIN_0085,[O-][N+](=O)c1c(NC(=O)c2cnccn2)cc(cc1C(F)(F)F)C(F)(F)F,0.0,380.2,0.4977,3.9692,98.02,1,5,3,3.67,5,2
TRAIN_0086,CC(=O)C(=C1SCCCS1)C(=O)Nc2ccccc2,25.0,293.41,0.5275,3.8183,46.17,1,4,3,3.3,5,2
TRAIN_0087,Clc1ccc(cc1Cl)c2nnc(NC(=O)Cc3ccccc3)s2,33.8,364.26,0.7306,3.9357,54.88,1,4,4,4.69,5,2
TRAIN_0088,Cc1cc2ncccc2c(Br)c1OS(=O)(=O)C(F)(F)F,2.83,370.15,0.5996,3.7979,56.26,0,4,2,3.53,5,2
TRAIN_0089,OC([C@@H]1C2CC(C=C2)[C@@H]1NC(=O)OCc3ccccc3)(c4ccccc4)c5ccccc5,94.0,425.53,0.5442,5.8486,58.56,2,3,6,5.04,4,2
TRAIN_0090,CC(C)c1noc(n1)C2CCN(CC2)c3nc(Cl)ncc3C(F)(F)F,0.0,375.78,0.7541,3.9667,67.94,0,6,3,4.04,5,2
TRAIN_0091,CC(NC(=O)c1ccc(Cl)c(Cl)c1)C(=O)Nc2ccc(OC3CCNCC3)c(Cl)c2,68.6,470.78,0.5792,4.5426,79.46000000000001,3,4,6,4.53,5,2
TRAIN_0092,Cl.CCCN(C1CCNCC1)S(=O)(=O)c2ccc(F)cc2,17.2,336.86,0.8979,3.8417,49.41,1,3,5,2.4,5,2
TRAIN_0093,CC(C)(C)OC(=O)N1CCO[C@H](Cn2nnc3ncc(Br)nc23)C1,14.9,399.25,0.7574,4.3624,95.26,0,8,2,1.62,5,2
TRAIN_0094,CN(Cc1ccc(F)cc1)Cc2ccc(cc2)[N+](=O)[O-],0.0,274.3,0.6201,3.8353,46.38,0,3,5,3.37,5,2
TRAIN_0095,Cc1cnc(cn1)C(=O)Nc2cc(Cl)c(Cl)c(Cl)c2,0.0,316.58,0.8521,3.7927,54.88,1,3,2,4.0,5,2
TRAIN_0096,CCC(=O)CC(=O)Nc1cccc(Cl)c1Cl,24.7,260.12,0.844,3.7019,46.17,1,2,4,3.3,5,2
TRAIN_0097,CCOC(=O)\C(=C\1/C(=O)N(Cc2ccc(OC)cc2)c3ccccc13)\[N+]#[C-],87.1,362.39,0.4644,4.039,60.2,0,4,5,3.44,5,2
TRAIN_0098,Nc1ccc(nc1)c2ccc(OC(F)(F)F)cc2,25.3,254.21,0.8945,3.7761,48.14,1,3,2,3.23,5,2
TRAIN_0099,CC1(COCc2c(F)cccc2F)CC(=NO1)c3sccc3S,49.4,355.43,0.8054,4.3421,30.82,1,5,5,4.41,5,2
TRAIN_0100,CC1(C)Oc2c(ccnc2c3ccc(cc3F)S(=O)(=O)C)C(Br)C1Br,29.1,493.19,0.5718,4.6073,56.26,0,4,2,4.66,5,2
TRAIN_0101,Clc1ccc(cc1)C2NCCc3ccc(Br)cc23,30.2,322.63,0.8234,4.2196,12.03,1,1,1,4.34,5,2
TRAIN_0102,COc1cccc(NC(=O)c2c(C)nc(C)c(C(=O)O)c2c3ccc(Cl)cc3)c1,79.3,410.86,0.619,4.0852,88.52,2,4,5,4.98,5,2
TRAIN_0103,O=C(N1CCN(Cc2ccc3OCOc3c2)CC1)c4ccc(Nc5cc(ncn5)n6cccc6)cc4,91.4,482.54,0.4486,4.3541,84.75,1,8,6,3.7,5,2
TRAIN_0104,CCOC(OCC)c1cc2cncc(I)c2[nH]1,93.3,346.17,0.668,3.761,47.14,1,3,5,3.24,5,2
TRAIN_0105,CC(C)(C)OC(=O)NCCN1CCC(Cc2ccccc2)CC1,57.0,318.46,0.9037,3.9253,41.57,1,3,5,3.47,5,2
TRAIN_0106,CSc1nc(Cl)cc(OCC2CCN(CC2)C(=O)OC(C)(C)C)n1,4.35,373.91,0.4531,3.9353,64.55,0,6,4,3.88,5,2
TRAIN_0107,Cc1cc(Cl)ccc1Nc2nc(N)nc(CCl)n2,25.4,284.15,0.8473,3.7761,76.72,2,5,3,2.9,5,2
TRAIN_0108,CN(CC(=O)NC1CCCCC1)N(Cc2ccc(F)cc2)c3ccc(C)cc3,69.0,383.51,0.7184,4.0791,35.580000000000005,1,3,7,4.44,5,2
TRAIN_0109,COC(=O)c1ccc(nc1OC(C)C(=O)Nc2ccccc2)C(F)(F)F,0.0147,368.31,0.8198,4.4055,77.52000000000001,1,5,5,3.29,5,2
TRAIN_0110,OC(=O)c1ccc(nc1OCCn2cncn2)C(F)(F)F,8.66,302.21,0.8992,3.8535,90.13,1,6,5,1.47,5,2
TRAIN_0111,CC(=O)C1=C(Nc2c(C)ccc(C)c2C1=O)S(=O)C,19.8,277.35,0.8546,4.1829,67.0,1,3,2,2.08,5,2
TRAIN_0112,Clc1ccc2CN(C3CCN(Cc4ccc(Br)cc4)CC3)C(=O)c2n1,0.0,420.74,0.701,3.9958,36.44,0,3,3,4.12,5,2
TRAIN_0113,CCN1C(=O)NC(=O)n2c1nc(c3ccc(F)cc3)c2c4ccc(F)cc4,0.0,368.34,0.6044,4.039,72.16,1,5,3,2.82,5,2
TRAIN_0114,COC(=O)c1cc(Cl)ccc1C2CCN(CC(=O)N3CCc4ccccc34)CC2,28.3,412.92,0.7146,4.1104,49.85,0,4,4,3.9,5,2
TRAIN_0115,CS(=O)(=O)c1ccc(NC(=O)CC#N)c(F)c1,12.4,256.26,0.8762,3.7173,87.03,1,4,3,1.08,5,2
TRAIN_0116,CC(C)(C)OC(=O)N1CCC(CC1)NS(=O)(=O)c2c(Cl)cc(cc2Cl)C(F)(F)F,47.7,477.33,0.6858,4.0501,75.71000000000001,1,4,3,4.69,5,2
TRAIN_0117,Fc1ccc(cc1OC2CCCNC2)C(=O)Nc3nnc(COc4ccc(Cl)c(Cl)c4)s3,47.7,497.38,0.4809,4.6222,85.37,2,7,7,4.95,5,2
TRAIN_0118,CC(NC(=O)c1n[nH]c2ccc(F)cc12)c3cccc4ccccc34,2.53,333.37,0.5856,4.4126,57.78,2,2,3,4.35,5,2
TRAIN_0119,CC(=O)Nc1cc2CCC(=O)c2cc1Br,6.66,268.11,0.8502,3.6883,46.17,1,2,1,2.54,5,2
TRAIN_0120,Cc1n[nH]c(C)c1Cc2ccccc2Br,22.3,265.15,0.8855,3.7045,28.68,1,1,2,3.38,5,2
TRAIN_0121,Cc1cc(C)cc(NC(=O)\C=C\C(=O)Nc2cc(C)cc(C)c2)c1,12.3,322.41,0.8342,3.9353,58.2,2,2,4,4.05,5,2
TRAIN_0122,Clc1ccccc1Sc2c(n[nH]c2C3CC3)C4CC4,37.9,290.82,0.8611,3.8183,28.68,1,2,4,4.97,5,2
TRAIN_0123,Fc1ccc(CN2CCCCC2)cc1c3cncc4cc(oc34)\C=C\5/SC(=O)NC5=O,60.0,437.5,0.5827,4.1812,75.44,1,6,4,4.94,5,2
TRAIN_0124,CN(C)CCCOc1ccc(CN2CCC(CC2)NC(=O)C3=C(C)c4ccccc4C3)cc1,7.18,447.62,0.5874,4.2374,44.81,1,4,9,4.13,5,2
TRAIN_0125,CC(C)C(NC(=O)c1c(C)n(CC(C)(C)O)c2ccc(F)cc12)C(=O)O,8.23,364.42,0.7349,4.3761,91.56000000000002,3,4,6,2.7,5,2
TRAIN_0126,CCOC(=O)c1cc2cc(O)ccc2n1c3ccc(cc3)C(=O)N4CCC4,49.7,364.4,0.7208,4.039,71.77,1,5,4,3.36,5,2
TRAIN_0127,CSC1=Nc2ccccc2C(=O)N1c3ccccc3,9.86,268.34,0.5289,3.8308,34.89,0,4,2,3.11,5,2
TRAIN_0128,Cc1ccccc1c2nc3ccccc3cc2Cn4c5ccc(cc5c6cnc(N)nc46)C(=O)N,94.4,458.53,0.3926,4.302,112.71,2,6,4,4.84,5,2
TRAIN_0129,OC(=O)[C@@H]1CCCN1C(=O)\C=C\c2ccc(NC(=O)Nc3ccccc3Br)cc2,43.0,458.31,0.5858,4.5189,98.74,3,3,5,4.18,5,2
TRAIN_0130,O=C(Nc1ccc(cc1)n2ccnc2)c3csc(Nc4ccccc4)n3,94.8,361.43,0.5551,4.0441,71.84,2,6,5,4.32,5,2
TRAIN_0131,COc1ccc(CNCCN2CCOCC2)c3ccccc13,55.0,300.4,0.8299,3.9273,33.730000000000004,1,4,6,2.27,5,2
TRAIN_0132,Brc1ccc(cc1)C(c2ccc[nH]2)c3ccc[nH]3,61.3,301.19,0.7232,3.8157,31.58,2,0,3,4.29,5,2
TRAIN_0133,CC(=O)C(Sc1cc(Cl)cc(Cl)c1)C(=O)C,33.7,277.17,0.6222,3.686,34.14,0,3,4,3.63,5,2
TRAIN_0134,Cc1ccc2nc(N3CCN(CC3)C(=O)c4cc5ccccc5[nH]4)c(Cl)nc2c1,47.4,405.89,0.5464,4.1186,65.12,1,4,2,4.04,5,2
TRAIN_0135,Fc1ccc(cc1)n2nc(C(=O)Nc3ccncc3)c4CCc5ccccc5c24,97.2,384.41,0.5687,4.1267,59.81,1,4,3,4.42,5,2
TRAIN_0136,Clc1cccc2C=C(Cn3ccc4cnc(Cl)nc34)N(C(=O)c12)c5ccccc5,37.6,421.29,0.3816,4.1186,52.71,0,5,3,5.09,4,2
TRAIN_0137,Oc1ccc(NC2=NC(=O)C(S2)c3ccccc3)cc1,58.4,284.34,0.8315,4.276,61.69,2,4,2,3.17,5,2
TRAIN_0138,COC(=O)c1c(C)n(C(=O)C)c2ccc(NS(=O)(=O)c3cccs3)cc12,42.5,392.46,0.6879,3.9887,94.47,1,7,4,3.26,5,2
TRAIN_0139,[O-][N+](=O)c1ccc2C(=CC(=O)c2c1)Br,62.7,254.04,0.571,3.6591,60.21,0,3,1,2.53,5,2
TRAIN_0140,O=C(Nc1sccc1C#N)\C=C/C(=O)N2CCOCC2,16.3,291.33,0.8413,3.8473,82.43,1,5,3,0.97,5,2
TRAIN_0141,CSc1ncc(Br)c(Nc2cccc(CO)c2)n1,13.4,326.22,0.6674,3.7896,58.040000000000006,2,5,4,3.2,5,2
TRAIN_0142,Clc1ncnc2[nH]c3ccc(I)cc3c12,46.8,329.53,0.5074,3.7205,41.57,1,2,0,3.37,5,2
TRAIN_0143,O=C(NCCN1CCCCC1)c2cccc(Oc3ccccc3)c2,31.4,324.42,0.8808,3.9851,41.57000000000001,1,3,6,3.69,5,2
TRAIN_0144,COc1c(NC(=O)\C=N\O)cc(Br)cc1C(C)C,10.2,315.17,0.5096,3.7484,70.92,2,4,4,2.98,5,2
TRAIN_0145,Brc1ccc(Sc2c(nn(C(=O)c3cnccn3)c2C4CC4)C5CC5)cc1,39.8,441.35,0.556,4.0479,60.67,0,6,5,5.03,4,2
TRAIN_0146,Clc1cc(NC(=O)CC(=O)Nc2ccnc(Cl)c2)ccn1,13.1,325.16,0.6686,3.8651,83.98,2,4,4,2.75,5,2
TRAIN_0147,COc1ccc2c(CCc3c2onc3C(=O)Nc4ncccn4)c1,22.9,322.32,0.7965,3.9755,90.14,1,6,3,2.49,5,2
TRAIN_0148,COc1ccc2C(=C3N(CCc4cc5OCOc5cc34)C(=O)c2c1OC)Cc6nc7ccccc7[nH]6,70.4,481.51,0.4085,4.3411,87.6,1,7,4,4.44,5,2
TRAIN_0149,Nc1ncnc2[nH]nc(I)c12,39.4,261.03,0.678,3.6153,80.48,2,4,0,0.54,5,2
TRAIN_0150,CC(N1C(=O)Nc2c1ncnc2S(=O)(=O)C)c3cc4ccccc4nc3c5ccccc5C,32.2,459.53,0.4108,4.6397,110.6,1,7,4,3.66,5,2
TRAIN_0151,COc1ccc(CN2C(=O)Cc3c(Br)cc(C(C)C)c(OC)c23)cc1,61.4,404.3,0.7267,3.9667,38.77,0,3,5,4.68,5,2
TRAIN_0152,COC(=O)c1ccc(Oc2c(C)nn(C(=O)c3ccc(Cl)nc3)c2C)cc1,13.6,385.81,0.5012,4.0299,83.31,0,7,4,3.82,5,2
TRAIN_0153,CC(C(=O)Nc1ccc(C)cc1)C(=O)Nc2ccc(C)cc2,23.4,296.37,0.8481,3.884,58.2,2,2,4,3.52,5,2
TRAIN_0154,Cc1cccc(NC(=O)C2ON=CC2C(=O)N3CCOCC3)c1,30.2,317.35,0.8938,4.5964,80.22999999999999,1,5,3,0.79,5,2
TRAIN_0155,Clc1cccc(n1)C(=O)NCCC(=O)Nc2nc(c(Cc3ccccc3)s2)c4ccccc4,69.1,476.99,0.3419,4.2446,83.98,2,5,8,5.21,4,2
TRAIN_0156,CC(C)(C)OC(=O)N1CCC(CC1)c2n[nH]c3nc(ncc23)S(=O)(=O)C,14.7,381.46,0.7889,3.9887,118.14,1,7,2,1.87,5,2
